"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 05 01:39:39 MSK 2023","Thu Oct 05 01:39:40 MSK 2023","981","","GetUserOrdersTest","","GetUserOrdersTest","getOrdersNoAuthorizedUserExpectError","Get orders no authorized user, result false",""
"passed","Thu Oct 05 01:39:49 MSK 2023","Thu Oct 05 01:39:50 MSK 2023","599","","CreateUserTest","","CreateUserTest","createUserExpectOk","Create user, result ok",""
"passed","Thu Oct 05 01:39:37 MSK 2023","Thu Oct 05 01:39:38 MSK 2023","321","","LogInUserTest","","LogInUserTest","userLogInWithUncorrectPasswordExpectError","Login user with uncorrect password, result error",""
"passed","Thu Oct 05 01:39:48 MSK 2023","Thu Oct 05 01:39:49 MSK 2023","791","","CreateUserTest","","CreateUserTest","createSameUserExpectError","Create user with the same data, result error",""
"passed","Thu Oct 05 01:39:38 MSK 2023","Thu Oct 05 01:39:39 MSK 2023","816","","LogInUserTest","","LogInUserTest","userLogInWithUncorrectEmailExpectError","Login user with uncorrect email, result error",""
"passed","Thu Oct 05 01:39:51 MSK 2023","Thu Oct 05 01:39:51 MSK 2023","226","","UserNoParametersCreatingTest","","UserNoParametersCreatingTest","createUserWithoutNameExpectError","Create user, no name, result error",""
"passed","Thu Oct 05 01:39:37 MSK 2023","Thu Oct 05 01:39:37 MSK 2023","348","","LogInUserTest","","LogInUserTest","userLogInWithoutEmailExpectError","Login user without email, result error",""
"passed","Thu Oct 05 01:39:43 MSK 2023","Thu Oct 05 01:39:45 MSK 2023","2008","","MakeOrderTest","","MakeOrderTest","makeOrderAuthorizedUserExpectOk","Make order authorized user, result ok",""
"passed","Thu Oct 05 01:39:38 MSK 2023","Thu Oct 05 01:39:38 MSK 2023","244","","LogInUserTest","","LogInUserTest","userLogInWithoutPasswordExpectError","Login user without password, result error",""
"passed","Thu Oct 05 01:39:51 MSK 2023","Thu Oct 05 01:39:51 MSK 2023","265","","UserNoParametersCreatingTest","","UserNoParametersCreatingTest","createUserWithoutEmailExpectError","Create user, no email, result error",""
"passed","Thu Oct 05 01:39:45 MSK 2023","Thu Oct 05 01:39:46 MSK 2023","1304","","MakeOrderTest","","MakeOrderTest","makeOrderNoAuthorizedUserExpectOk","Make order noauthorized user, result ok",""
"passed","Thu Oct 05 01:39:38 MSK 2023","Thu Oct 05 01:39:38 MSK 2023","330","","LogInUserTest","","LogInUserTest","userLogInExpectOk","Login user with correct data, result ok",""
"passed","Thu Oct 05 01:39:36 MSK 2023","Thu Oct 05 01:39:36 MSK 2023","571","","ChangeUserTest","","ChangeUserTest","changeNoAuthorizedUserExpectError","Change noauthorized user data, result ok",""
"passed","Thu Oct 05 01:39:46 MSK 2023","Thu Oct 05 01:39:47 MSK 2023","982","","MakeOrderTest","","MakeOrderTest","makeOrderNoValidIngredientExpectError","Make order no valid ingredient, result error",""
"passed","Thu Oct 05 01:39:50 MSK 2023","Thu Oct 05 01:39:51 MSK 2023","771","","LogoutUserTest","","LogoutUserTest","userLogOutExpectOk","Logout user, result ok",""
"passed","Thu Oct 05 01:39:40 MSK 2023","Thu Oct 05 01:39:43 MSK 2023","2819","","GetUserOrdersTest","","GetUserOrdersTest","getOrdersAuthorizedUserExpectOk","Get orders authorized user, result ok",""
"passed","Thu Oct 05 01:39:34 MSK 2023","Thu Oct 05 01:39:36 MSK 2023","1407","","ChangeUserTest","","ChangeUserTest","changeAuthorizedUserExpectOk","Change authorized user data, result ok",""
"passed","Thu Oct 05 01:39:47 MSK 2023","Thu Oct 05 01:39:48 MSK 2023","793","","MakeOrderTest","","MakeOrderTest","makeOrderNoIngredientExpectError","Make order no ingredient, result error",""
"passed","Thu Oct 05 01:39:51 MSK 2023","Thu Oct 05 01:39:51 MSK 2023","207","","UserNoParametersCreatingTest","","UserNoParametersCreatingTest","createUserWithoutPasswordExpectError","Create user, no password, result error",""
